field,value
data_crea,2003-02-27 00:00:00
n_scheda,42123
segnatura,SR.
noName,262.1/209
cod_sez,AE
n_s_sez,3
titolo,TRES ABHINC ANNOS / SECONDA ISTRUZIONE DELLA S. CONGREGAZIONE DEI RI TI PER 'ESECUZIONE DELLA COSTITUZIONE CONCILIARE SULLA LITURGIA
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1967
volume,2025-01-01 00:00:00
pagine,15
formato,16
collezion,IL PASTORE CHE CI GUIDA N. 169
data_crea,2003-02-27 00:00:00
n_scheda,42122
segnatura,SR
noName,262.1/209
cod_sez,AE
n_s_sez,3
titolo,ISTRUZIONE PER L'APPLICAZIONE DELLA COSTITUZIONE CONCILIARE SULLA SA CRA LITURGIA
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,1944
volume,2025-01-01 00:00:00
pagine,40
formato,16
collezion,IL PASTORE CHE CI GUIDA N. 131
data_crea,2003-02-27 00:00:00
n_scheda,42121
segnatura,SR
noName,262.1/208
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
titolo,LA SACRA VERGINITA' 1954
edizione,I
luogo_pub,PINEROLO
editore,T. COTT.
data_pub,1954
volume,2025-01-01 00:00:00
pagine,29
formato,17
data_crea,2003-02-27 00:00:00
n_scheda,42120
segnatura,SR
noName,262.1/207
cod_sez,AE
n_s_sez,3
autore,"PAOLO VI, PAPA"
titolo,IL PAPA TRA GLI OPERAI CON GLI EDILI DI PIETRALATA 1966
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1966
volume,2025-01-01 00:00:00
pagine,11
formato,16
collezion,IL PASTORE N.159
data_crea,2003-02-27 00:00:00
n_scheda,42119
segnatura,SR
noName,262.1/206
cod_sez,AE
n_s_sez,3
titolo,DIGNITATIS HUMANAE DICHIARAZIONE CONCILIARE SULLA LIBERTA' RELIGIOSA - 1965
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,23
formato,16
collezion,IL PASTORE N.152
data_crea,2003-02-27 00:00:00
n_scheda,42118
segnatura,SR
noName,262.1/205
cod_sez,AE
n_s_sez,3
titolo,PERFECTAE CARITATIS DECRETO CONCILIARE SUL RINNOVAMENTO DELLA VITA RELIGIOSA 1965
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,24
formato,16
collezion,IL PASTORE N.144
data_crea,2003-02-27 00:00:00
n_scheda,42117
segnatura,SR
noName,262.1/204
cod_sez,AE
n_s_sez,3
titolo,UNITATIS REDINTEGRATIO / ORIENTALIUM ECCLESIARUM DECRETI CONCILIARI SULL'ECUMENISMO E SULLE CHIESE ORINTALI CATTO LICHE 1964
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,47
formato,16
collezion,IL PASTORE N.133
data_crea,2003-02-27 00:00:00
n_scheda,42116
segnatura,SR
noName,262.1/203
cod_sez,AE
n_s_sez,3
titolo,INTER MIRIFICA DECRETO DEL CONCILIO VAT. II SUGLI STRUMENTI DELLA COMINICAZIONE SOCIALE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,16
formato,16
collezion,IL PASTORE N.123
data_crea,2003-02-27 00:00:00
n_scheda,42115
segnatura,SR
noName,262.1/202
cod_sez,AE
n_s_sez,3
titolo,DEI VERBUM LA DIVINA RIVELAZIONE/ COSTITUZIONE DOGMATICA PROMULGATA DAL CON CILIO VAT. II
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,23
formato,16
collezion,IL PASTORE N.149
data_crea,2003-02-27 00:00:00
n_scheda,42114
segnatura,SR
noName,262.1/201
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,LA CENA DEL SIGNORE A TUTTI VESCOVI SUL MISTERO-CULTO DELLA SS. EUCARESTIA
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1980
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,SERVIZIO DELL'UNITA' N. 26
data_crea,2003-02-27 00:00:00
n_scheda,42113
segnatura,SR
noName,262.1/200
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER L'EDUCAZIONE CATTOLICA
titolo,LA SCUOLA CATTOLICA 1977
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1977
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,SERVIZIO DELL'UNITA' N. 12
data_crea,2003-02-27 00:00:00
n_scheda,42112
segnatura,SR
noName,262.1/199
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,IL CONCILIO DONO DI DIO ALLA CHIESA E AL MONDO SINODO STRAORDINARIO 1985-24 NOV. 8 DIC.-
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,SERVIZIO DELL'UNITA' N. 49
data_crea,2003-02-27 00:00:00
n_scheda,42111
segnatura,SR
noName,262.1/198
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1980
volume,2025-01-01 00:00:00
pagine,72
formato,18
collezion,SERVIZIO DELL'UNITA' N. 28
data_crea,2003-02-27 00:00:00
n_scheda,42110
